
	Du är en hjälpsam assistent vars uppgift är att skriva en Wikipedia-artikel om Inomhusvärldsmästerskapen i friidrott 2022, skriv artikeln på svenska.
	Du får ENDAST använda nedanstående egenskapsvärdepar som din informationskälla.
	Du behöver inte förklara varför du inte kan skapa en fullständig wikipedia artikel eller om du inte vet så får du gissa så bra du kan. 
 	Jag vill ENDAST ha Wikipedia artikeln, jag behöver ingen information om hur du har skapat artikeln. 
  	Lägg inte till några nya källor. Skriv artikeln så likt Wikipedia som möjligt. Skriv artikeln så utförligt som möjligt.
	Svara på svenska.  

	label: 2022 World Athletics Indoor Championships
comment: The 18th World Athletics Indoor Championships were held from 18 to 20 March 2022 in Belgrade, Serbia. Ethiopia headed the medal table, with 4 gold medals, despite winning only nine in total. United States, second on gold medals won with 3, won the most medals, 19.
name: 18
depiction: 2022_World_Athletics_Indoor_Championships_Logo.png
subject: Category:2022_World_Athletics_Indoor_Championships
subject: Category:2022_in_Serbian_sport
subject: Category:2022_in_athletics_(track_and_field)
subject: Category:21st_century_in_Serbia
subject: Category:March_2022_sports_events_in_Serbia
subject: Category:World_Athletics_Indoor_Championships
subject: Category:International_athletics_competitions_hosted_by_Serbia
wikiPageID: 66247905
wikiPageRevisionID: 1102511132
wikiPageWikiLink: Carl_Bengtström
wikiPageWikiLink: Roneisha_McGregor
wikiPageWikiLink: Samuel_Tefera
wikiPageWikiLink: Sandi_Morris
wikiPageWikiLink: 2022_World_Athletics_Indoor_Championships_–_Men's_1500_metres
wikiPageWikiLink: 2022_World_Athletics_Indoor_Championships_–_Men's_4_×_400_metres_relay
wikiPageWikiLink: 2022_World_Athletics_Indoor_Championships_–_Men's_800_metres
wikiPageWikiLink: 2022_World_Athletics_Indoor_Championships_–_Men's_high_jump
wikiPageWikiLink: 2022_World_Athletics_Indoor_Championships_–_Men's_triple_jump
wikiPageWikiLink: 2022_World_Athletics_Indoor_Championships_–_Women's_1500_metres
wikiPageWikiLink: 2022_World_Athletics_Indoor_Championships_–_Women's_3000_metres
wikiPageWikiLink: 2022_World_Athletics_Indoor_Championships_–_Women's_400_metres
wikiPageWikiLink: 2022_World_Athletics_Indoor_Championships_–_Women's_4_×_400_metres_relay
wikiPageWikiLink: 2022_World_Athletics_Indoor_Championships_–_Women's_800_metres
wikiPageWikiLink: 2022_World_Athletics_Indoor_Championships_–_Women's_high_jump
wikiPageWikiLink: 2022_World_Athletics_Indoor_Championships_–_Women's_pentathlon
wikiPageWikiLink: 2022_World_Athletics_Indoor_Championships_–_Women's_pole_vault
wikiPageWikiLink: 2022_World_Athletics_Indoor_Championships_–_Women's_shot_put
wikiPageWikiLink: 2022_World_Athletics_Indoor_Championships_–_Women's_triple_jump
wikiPageWikiLink: 2023_World_Athletics_Indoor_Championships
wikiPageWikiLink: Category:2022_World_Athletics_Indoor_Championships
wikiPageWikiLink: Category:2022_in_Serbian_sport
wikiPageWikiLink: Category:2022_in_athletics_(track_and_field)
wikiPageWikiLink: Category:21st_century_in_Serbia
wikiPageWikiLink: Category:March_2022_sports_events_in_Serbia
wikiPageWikiLink: Bernat_Erta
wikiPageWikiLink: Devynne_Charlton
wikiPageWikiLink: Jonathan_Sacoor
wikiPageWikiLink: Julien_Watrin
wikiPageWikiLink: Pedro_Pichardo
wikiPageWikiLink: United_States
wikiPageWikiLink: GMT+01:00
wikiPageWikiLink: 1500_metres
wikiPageWikiLink: Marybeth_Sant-Price
wikiPageWikiLink: Maryna_Bekh-Romanchuk
wikiPageWikiLink: Ryan_Crouser
wikiPageWikiLink: Chris_Nilsen
wikiPageWikiLink: Christian_Coleman
wikiPageWikiLink: Ejgayehu_Taye
wikiPageWikiLink: Eleanor_Patterson
wikiPageWikiLink: Freweyni_Hailu
wikiPageWikiLink: Gabbi_Cunningham
wikiPageWikiLink: Gianmarco_Tamberi
wikiPageWikiLink: Grant_Holloway
wikiPageWikiLink: Mujinga_Kambundji
wikiPageWikiLink: Nadezhda_Dubovitskaya
wikiPageWikiLink: Thiago_Braz
wikiPageWikiLink: Thobias_Montler
wikiPageWikiLink: Category:World_Athletics_Indoor_Championships
wikiPageWikiLink: 2018_IAAF_World_Indoor_Championships
wikiPageWikiLink: Category:International_athletics_competitions_hosted_by_Serbia
wikiPageWikiLink: Andrea_Bouma
wikiPageWikiLink: Lemlem_Hailu
wikiPageWikiLink: Lieke_Klaver
wikiPageWikiLink: Lisanne_de_Witte
wikiPageWikiLink: Long_jump
wikiPageWikiLink: Lorraine_Ugen
wikiPageWikiLink: Loïc_Gasch
wikiPageWikiLink: Lázaro_Martínez_(triple_jumper)
wikiPageWikiLink: Shot_put
wikiPageWikiLink: Simon_Ehammer
wikiPageWikiLink: Stephenie_Ann_McPherson
wikiPageWikiLink: Yulimar_Rojas
wikiPageWikiLink: Štark_Arena
wikiPageWikiLink: Indoor_pentathlon
wikiPageWikiLink: Auriol_Dongmo
wikiPageWikiLink: Axumawit_Embaye
wikiPageWikiLink: Bruno_Hortelano
wikiPageWikiLink: Bryce_Hoppel
wikiPageWikiLink: Tiffany_James
wikiPageWikiLink: Tina_Šutej
wikiPageWikiLink: Tony_van_Diepen
wikiPageWikiLink: Trevor_Bassitt
wikiPageWikiLink: Triple_jump
wikiPageWikiLink: 2022_Russian_invasion_of_Ukraine
wikiPageWikiLink: 2022_World_Athletics_Indoor_Championships_–_Men's_3000_metres
wikiPageWikiLink: 2022_World_Athletics_Indoor_Championships_–_Men's_400_metres
wikiPageWikiLink: 2022_World_Athletics_Indoor_Championships_–_Men's_60_metres
wikiPageWikiLink: 2022_World_Athletics_Indoor_Championships_–_Men's_60_metres_hurdles
wikiPageWikiLink: 2022_World_Athletics_Indoor_Championships_–_Men's_heptathlon
wikiPageWikiLink: 2022_World_Athletics_Indoor_Championships_–_Men's_long_jump
wikiPageWikiLink: 2022_World_Athletics_Indoor_Championships_–_Men's_pole_vault
wikiPageWikiLink: 2022_World_Athletics_Indoor_Championships_–_Men's_shot_put
wikiPageWikiLink: 2022_World_Athletics_Indoor_Championships_–_Women's_60_metres
wikiPageWikiLink: 2022_World_Athletics_Indoor_Championships_–_Women's_60_metres_hurdles
wikiPageWikiLink: 2022_World_Athletics_Indoor_Championships_–_Women's_long_jump
wikiPageWikiLink: 3000_metres
wikiPageWikiLink: 400_metres
wikiPageWikiLink: 4_×_400_metres_relay
wikiPageWikiLink: 60_metres
wikiPageWikiLink: 60_metres_hurdles
wikiPageWikiLink: 800_metres
wikiPageWikiLink: Abel_Kipsang
wikiPageWikiLink: Adrianna_Sułek
wikiPageWikiLink: Ajeé_Wilson
wikiPageWikiLink: Aleksandra_Gaworska
wikiPageWikiLink: Alexander_Doom
wikiPageWikiLink: Cyréna_Samba-Mayela
wikiPageWikiLink: Damian_Warner
wikiPageWikiLink: Darlan_Romani
wikiPageWikiLink: Dylan_Borlée
wikiPageWikiLink: Ese_Brume
wikiPageWikiLink: Ethiopia
wikiPageWikiLink: Eveline_Saalberg
wikiPageWikiLink: Femke_Bol
wikiPageWikiLink: Nick_Smidt
wikiPageWikiLink: Noah_Kibet
wikiPageWikiLink: Noor_Vidts
wikiPageWikiLink: Pascal_Martinot-Lagarde
wikiPageWikiLink: Central_European_Time
wikiPageWikiLink: Gudaf_Tsegay
wikiPageWikiLink: Halimah_Nakaayi
wikiPageWikiLink: Hamish_Kerr
wikiPageWikiLink: High_jump
wikiPageWikiLink: Hirut_Meshesha
wikiPageWikiLink: Ivana_Španović
wikiPageWikiLink: Iñaki_Cañal
wikiPageWikiLink: Jakob_Ingebrigtsen
wikiPageWikiLink: Janieve_Russell
